term,sum_sq,df,F,PR(>F),metric
C(frame),9.209201388888937,1.0,33.40315663340738,2.1218178228661708e-08,overall_delta
C(scenario_type),0.44965277777777835,2.0,0.8154790807854158,0.44354705925501403,overall_delta
C(model_family),0.08202531404167933,2.0,0.1487590669992507,0.8618494564480408,overall_delta
C(category),3.276909722222217,7.0,1.697977677862623,0.10964152418022272,overall_delta
C(frame):C(scenario_type),1.2829861111111092,2.0,2.3267916629359866,0.0996223076146688,overall_delta
C(frame):C(model_family),1.9378034269195754,2.0,3.5143520410056692,0.031178124833364,overall_delta
C(frame):C(category),0.9227430555555571,7.0,0.4781325222696621,0.8500967399684711,overall_delta
log_params_b,0.2804711236942635,1.0,1.0173108916057223,0.3140883062733866,overall_delta
C(frame):log_params_b,0.017762387205822634,1.0,0.06442684625565637,0.7998302676663519,overall_delta
Residual,72.2330164890999,262.0,,,overall_delta
C(frame),6.125000000000058,1.0,20.407397126783113,9.47528479074038e-06,harm_delta
C(scenario_type),0.4374999999999991,2.0,0.7288356116708171,0.4834460200452195,harm_delta
C(model_family),1.1212383684183702,2.0,1.8678821761714135,0.15650134242292435,harm_delta
C(category),2.5972222222222197,7.0,1.2362109694552648,0.28309999144798575,harm_delta
C(frame):C(scenario_type),0.14583333333333343,2.0,0.24294520389027302,0.7844909790956973,harm_delta
C(frame):C(model_family),0.06522002917227958,2.0,0.10865069681135318,0.8970840998148579,harm_delta
C(frame):C(category),2.1527777777777755,7.0,1.024666846339925,0.41410146312427276,harm_delta
log_params_b,0.3813938798717718,1.0,1.2707357335947407,0.2606600253193525,harm_delta
C(frame):log_params_b,0.48290407393700985,1.0,1.6089494221998206,0.20576543119602222,harm_delta
Residual,78.6357020461912,262.0,,,harm_delta
